name_constructor,races,total_points,avg_points,dnf_rate,performance_index
Alfa Romeo,208,147.0,0.7067307692307693,0.125,0.050308967641174686
AlphaTauri,166,306.0,1.8433734939759037,0.13855421686746988,0.13271634169354987
Alpine F1 Team,228,518.0,2.2719298245614037,0.10964912280701754,0.16378696843335636
Aston Martin,227,572.0,2.5198237885462555,0.0881057268722467,0.18175945017339148
Ferrari,466,4713.5,10.11480686695279,0.11802575107296137,0.732400911943225
Force India,162,607.0,3.746913580246914,0.12962962962962962,0.27072429836982137
Haas F1 Team,428,366.0,0.8551401869158879,0.16121495327102803,0.061068751810659475
Lotus F1,38,78.0,2.0526315789473686,0.39473684210526316,0.14788769581064404
Manor Marussia,78,1.0,0.01282051282051282,0.15384615384615385,0.0
McLaren,466,2616.0,5.613733905579399,0.148068669527897,0.40607004729259377
Mercedes,466,6433.5,13.805793991416309,0.060085836909871244,1.0
RB F1 Team,96,128.0,1.3333333333333333,0.0625,0.09573808160814765
Racing Point,76,283.0,3.723684210526316,0.14473684210526316,0.26904015319571184
Red Bull,466,5217.5,11.196351931330472,0.1223175965665236,0.8108136679784661
Renault,200,459.0,2.295,0.235,0.16545957191326566
Sauber,258,165.0,0.6395348837209303,0.1511627906976744,0.04543722003619923
Toro Rosso,204,301.0,1.4754901960784315,0.23529411764705882,0.10604455127298823
Williams,465,684.0,1.4709677419354839,0.15053763440860216,0.1057166702580667
