driver_name,races,total_points,avg_points,points_std,avg_grid,avg_finish,dnf_rate,avg_grid_vs_finish,consistency_index,efficiency_score,performance_index,roi_proxy,performance_volatility,high_performer_flag,reliable_driver_flag
Alexander Albon,129,308.0,2.387596899224806,3.9057451224113824,11.55813953488372,9.294573643410853,0.13178294573643412,2.2635658914728682,0.48669403722531773,0.19012345679012346,0.3704873743188272,2.3692307692307693,3.9057451224113824,0,1
Alexander Rossi,5,0.0,0.0,0.0,17.8,15.4,0.0,2.4,0.0,0.0,0.3437647058823529,0.0,0.0,0,0
Andrea Kimi Antonelli,24,135.0,5.625,5.998641150475158,8.541666666666666,9.833333333333334,0.0,-1.2916666666666667,0.8037274492374998,0.5895196506550219,0.4681426630057964,5.4,5.998641150475158,1,1
Antonio Giovinazzi,62,21.0,0.3387096774193548,1.3421727966139032,14.370967741935484,12.096774193548388,0.0967741935483871,2.274193548387097,0.14461344522019465,0.02203567681007345,0.3231299904183967,0.3333333333333333,1.3421727966139032,0,0
Brendon Hartley,25,4.0,0.16,0.4725815626252608,15.28,9.08,0.32,6.2,0.10865272529608361,0.009828009828009828,0.2880555786671104,0.15384615384615385,0.4725815626252608,0,0
Carlos Sainz,232,1257.5,5.420258620689655,5.985290332617642,8.818965517241379,6.556034482758621,0.16379310344827586,2.2629310344827585,0.7759532335227199,0.552019315188762,0.44666793381743275,5.396995708154506,5.985290332617642,1,0
Charles Leclerc,173,1588.0,9.179190751445086,7.1874588317143315,6.242774566473988,4.930635838150289,0.1329479768786127,1.3121387283236994,1.1211281717703736,1.2673583399840382,0.5533075520599129,9.126436781609195,7.1874588317143315,1,1
Daniel Ricciardo,188,1052.0,5.595744680851064,6.5314036111944915,9.02127659574468,6.73404255319149,0.15425531914893617,2.2872340425531914,0.7429882887346109,0.5583864118895967,0.4547222482841883,5.5661375661375665,6.5314036111944915,1,0
Daniil Kvyat,93,194.0,2.086021505376344,3.979993210553785,12.075268817204302,8.53763440860215,0.1827956989247312,3.5376344086021505,0.4188803914341832,0.1595394736842105,0.3586436529258781,2.0638297872340425,3.979993210553785,0,0
Esteban Gutiérrez,21,0.0,0.0,0.0,13.952380952380953,10.476190476190476,0.23809523809523808,3.4761904761904763,0.0,0.0,0.28246498599439773,0.0,0.0,0,0
